what,kind,bundleId,bundleVersion,description,time
error,log,,,"",1386176174192
error,log,,,"",1386176174254
error,log,,,"",1386176174301
error,log,,,"",1386176174363
error,log,,,"",1386176174504
error,log,,,"",1386176174566
error,log,,,"",1386176174629
error,log,,,"",1386176174722
error,log,,,"",1386176174800
error,log,,,"",1386176174894
error,log,,,"",1386176174987
error,log,,,"",1386176175081
error,log,,,"",1386176175175
error,log,,,"",1386176175268
error,log,,,"",1386176175362
error,log,,,"",1386176175455
error,log,,,"",1386176175549
error,log,,,"",1386176175643
error,log,,,"",1386176175736
error,log,,,"",1386176175845
error,log,,,"",1386176175939
error,log,,,"",1386176176033
error,log,,,"",1386176176126
error,log,,,"",1386176176235
error,log,,,"",1386176176313
error,log,,,"",1386176176423
error,log,,,"",1386176176516
error,log,,,"",1386176176594
error,log,,,"",1386176176688
error,log,,,"",1386176176781
error,log,,,"",1386176176875
error,log,,,"",1386176176969
error,log,,,"",1386176177062
error,log,,,"",1386176177156
error,log,,,"",1386176177249
error,log,,,"",1386176177343
error,log,,,"",1386176177452
error,log,,,"",1386176177639
error,log,,,"",1386176177749
error,log,,,"",1386176177858
error,log,,,"",1386176177967
error,log,,,"",1386176178076
error,log,,,"",1386176178201
error,log,,,"",1386176178310
error,log,,,"",1386176178419
error,log,,,"",1386176178544
error,log,,,"",1386176178669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386176184488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386176185502
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386176185923
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1386176187218
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1386176187452
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1386176187467
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1386176187530
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1386248727388
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1386248727388
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1386248727388
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1386248727388
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1386248727388
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1386248727388
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1386248727388
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1386248727404
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1386248727404
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1386248727404
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1386248727404
